,gRNAs at position of ,,,,,,,,
Key,mU6 (P3),U6 (P2),H1 (P1),Plasmid,Cell_D9,Cell_D15_rep1,Cell_D26_rep1,Cell_D15_rep2,Cell_D26_rep2
"15,11,2",MAP2K1_1,HDAC1_1,dummyguide_2,19.09,21.55,43.12,43.97,33.31,28.42
"15,11,3",MAP2K1_1,HDAC1_1,CDK4_3,30.38,35.18,47.47,46.95,52.52,54.88
"15,11,4",MAP2K1_1,HDAC1_1,CDK4_2,25.52,28.85,28.13,28.91,28.84,13.27
"15,11,5",MAP2K1_1,HDAC1_1,DNMT1_1,25.65,27.75,22.17,13.82,25.7,17.23
"15,11,6",MAP2K1_1,HDAC1_1,DNMT1_2,20.33,31.86,41.12,14.47,29.58,17.31
"15,11,7",MAP2K1_1,HDAC1_1,EGFR_1,19.52,26.12,30.77,22.52,18.87,17.73
"15,11,8",MAP2K1_1,HDAC1_1,EGFR_2,25.84,35.18,39.2,46.82,29.33,43.15
"15,11,9",MAP2K1_1,HDAC1_1,ERBB2_1,41.95,20.91,19.3,35.59,31.45,13
"15,11,10",MAP2K1_1,HDAC1_1,ERBB2_2,18.12,22.45,27.75,60.99,32.53,66.42
"15,11,11",MAP2K1_1,HDAC1_1,HDAC1_1,23.15,17.99,34.02,62.14,35.23,48.19
"15,11,12",MAP2K1_1,HDAC1_1,HDAC1_2,19.15,26.58,23.98,34.8,26.38,16.5
"15,11,13",MAP2K1_1,HDAC1_1,IKBKB_1,20.17,32.82,43.42,50.68,58.81,29.81
"15,11,14",MAP2K1_1,HDAC1_1,IKBKB_2,3.63,12.65,7.82,10.02,4.62,4.81
"15,11,15",MAP2K1_1,HDAC1_1,MAP2K1_1,7.58,11.23,8.38,28.45,8.4,28.42
"15,11,16",MAP2K1_1,HDAC1_1,MAP2K1_2,4.46,3.92,9.89,,0.54,0.04
"15,11,17",MAP2K1_1,HDAC1_1,MTOR_1,16.89,15.76,2.61,4.22,2.6,1.58
"15,11,18",MAP2K1_1,HDAC1_1,MTOR_2,10.81,5.2,7.7,14.21,7.62,12.77
"15,11,19",MAP2K1_1,HDAC1_1,POLA1_1,13.93,4.72,4.72,0.03,9.68,
"15,11,20",MAP2K1_1,HDAC1_1,POLA1_2,2.34,0.02,,,0.05,
"15,11,21",MAP2K1_1,HDAC1_1,TOP1_1,19.63,3.04,8.08,6.74,10.02,2.04
"15,11,22",MAP2K1_1,HDAC1_1,TOP1_2,28.45,18.14,17.9,4.85,13.95,22.31
"15,11,23",MAP2K1_1,HDAC1_1,TUBA1A_1,17.13,4.43,7.55,1.18,4.77,15.65
"15,11,24",MAP2K1_1,HDAC1_1,TUBA1A_2,16.48,10.41,4.68,10.05,2.51,2.81
"15,11,25",MAP2K1_1,HDAC1_1,TYMS_1,7.39,5.34,1.66,2.39,1.52,1.46
"15,11,26",MAP2K1_1,HDAC1_1,TYMS_3,10.08,8.85,9.59,,16.46,3.5
"15,11,27",MAP2K1_1,HDAC1_1,FGF2_1,24.66,24.86,27.87,51.11,38.72,29.73
"15,11,28",MAP2K1_1,HDAC1_1,FGF2_2,17.69,34.83,37.19,65.97,34,37.46
"15,11,29",MAP2K1_1,HDAC1_1,PIK3C3_1,16.13,13.77,34.29,46.16,18.13,12.23
"15,11,30",MAP2K1_1,HDAC1_1,PIK3C3_2,25.46,16.59,15.37,18.76,31.74,14.27
"15,11,31",MAP2K1_1,HDAC1_1,TGFB1_1,28.61,39.1,50.79,66.23,64.12,100.81
"15,11,32",MAP2K1_1,HDAC1_1,TGFB1_2,5.78,2.34,3.81,4.32,4.42,5.5
"15,12,1",MAP2K1_1,HDAC1_2,dummyguide_1,40.52,48.32,43.16,51.17,45.89,14.85
"15,12,2",MAP2K1_1,HDAC1_2,dummyguide_2,36.78,24.13,23.56,33.72,17.59,46.85
"15,12,3",MAP2K1_1,HDAC1_2,CDK4_3,35.36,29.53,26.73,10.51,16.56,45.31
"15,12,4",MAP2K1_1,HDAC1_2,CDK4_2,29.55,36.39,63.4,84.47,57.34,39.92
"15,12,5",MAP2K1_1,HDAC1_2,DNMT1_1,41.06,40.47,31.91,31.63,47.71,39.96
"15,12,6",MAP2K1_1,HDAC1_2,DNMT1_2,26.03,24.2,24.32,22.92,24.03,31.65
"15,12,7",MAP2K1_1,HDAC1_2,EGFR_1,50.09,45.82,31.68,33.03,41.52,34.81
"15,12,8",MAP2K1_1,HDAC1_2,EGFR_2,30.47,48.65,42.82,51.14,58.22,52.85
"15,12,9",MAP2K1_1,HDAC1_2,ERBB2_1,56.33,46.76,43.39,81.72,58.52,74.08
"15,12,10",MAP2K1_1,HDAC1_2,ERBB2_2,28.48,48.48,57.21,39.35,41.22,44.96
"15,12,11",MAP2K1_1,HDAC1_2,HDAC1_1,53.32,53.03,42.14,29.43,68.3,30.58
"15,12,12",MAP2K1_1,HDAC1_2,HDAC1_2,29.34,17.04,30.85,31.95,23.53,18.19
"15,12,13",MAP2K1_1,HDAC1_2,IKBKB_1,34.82,49.9,33.49,47.47,34.29,18.23
"15,12,14",MAP2K1_1,HDAC1_2,IKBKB_2,35.33,21.4,38.67,20.66,17.1,16.73
"15,12,15",MAP2K1_1,HDAC1_2,MAP2K1_1,40.6,56.23,52.56,85.35,68.39,52.73
"15,12,16",MAP2K1_1,HDAC1_2,MAP2K1_2,28.34,24.51,22.66,41.61,29.63,21
"15,12,17",MAP2K1_1,HDAC1_2,MTOR_1,38.24,34.34,32.21,11.72,27.32,8.27
"15,12,18",MAP2K1_1,HDAC1_2,MTOR_2,28.99,25.88,19.3,12.9,7.08,3.23
"15,12,19",MAP2K1_1,HDAC1_2,POLA1_1,48.67,21.83,4.87,1.77,18.23,4.5
"15,12,20",MAP2K1_1,HDAC1_2,POLA1_2,32.56,11.14,2.83,1.87,7.32,5.23
"15,12,21",MAP2K1_1,HDAC1_2,TOP1_1,37.64,29.01,11.89,3.99,5.4,15.92
"15,12,22",MAP2K1_1,HDAC1_2,TOP1_2,48.29,35.9,29.3,9.53,38.42,30.62
"15,12,23",MAP2K1_1,HDAC1_2,TUBA1A_1,46.2,36.37,37.04,32.84,55.37,38.92
"15,12,24",MAP2K1_1,HDAC1_2,TUBA1A_2,29.77,25.26,16.12,4.35,7.91,12.27
"15,12,25",MAP2K1_1,HDAC1_2,TYMS_1,29.36,27.21,82.43,37.26,35.33,35.46
"15,12,26",MAP2K1_1,HDAC1_2,TYMS_3,49.45,65.85,74.88,73.76,62.79,31.42
"15,12,27",MAP2K1_1,HDAC1_2,FGF2_1,45.25,37.25,52.68,66.1,42.45,61.46
"15,12,28",MAP2K1_1,HDAC1_2,FGF2_2,25.52,29.06,32.81,13.06,18.03,27.92
"15,12,29",MAP2K1_1,HDAC1_2,PIK3C3_1,44.21,30.9,27.64,56.05,34.74,39.92
"15,12,30",MAP2K1_1,HDAC1_2,PIK3C3_2,39.9,32.79,14.46,11.75,31,24.15
"15,12,31",MAP2K1_1,HDAC1_2,TGFB1_1,38.69,20.75,44.71,48.42,37.39,37.5
"15,12,32",MAP2K1_1,HDAC1_2,TGFB1_2,23.23,7.91,10.99,35.65,7.27,13.35
"15,13,1",MAP2K1_1,IKBKB_1,dummyguide_1,72.55,96.08,123.02,185.17,108.58,154.19
"15,13,2",MAP2K1_1,IKBKB_1,dummyguide_2,50.18,63.58,86.09,92.95,99.25,146
"15,13,3",MAP2K1_1,IKBKB_1,CDK4_3,56.36,83.21,74.92,127.39,92.71,70.88
"15,13,4",MAP2K1_1,IKBKB_1,CDK4_2,69.62,81.02,79.86,107.25,84.17,102.88
"15,13,5",MAP2K1_1,IKBKB_1,DNMT1_1,81.69,111.85,122.91,177.22,108.58,178.23
"15,13,6",MAP2K1_1,IKBKB_1,DNMT1_2,46.14,69.98,91.68,68.33,94.97,126.15
"15,13,7",MAP2K1_1,IKBKB_1,EGFR_1,77.9,86.58,96.03,114.72,67.26,122.96
"15,13,8",MAP2K1_1,IKBKB_1,EGFR_2,69.72,96.28,92.25,145.4,95.27,122.81
"15,13,9",MAP2K1_1,IKBKB_1,ERBB2_1,77.98,72.9,70.2,123.62,83.97,58.27
"15,13,10",MAP2K1_1,IKBKB_1,ERBB2_2,71.53,94.14,120.68,114.91,109.52,153.5
"15,13,11",MAP2K1_1,IKBKB_1,HDAC1_1,120.76,176.58,172.98,166.45,198.01,162.96
"15,13,12",MAP2K1_1,IKBKB_1,HDAC1_2,53.99,39.94,50.86,30.25,36.21,46.88
"15,13,13",MAP2K1_1,IKBKB_1,IKBKB_1,52.38,64.61,103.39,115.7,115.02,110.62
"15,13,14",MAP2K1_1,IKBKB_1,IKBKB_2,61.12,56.4,80.24,104.44,97.63,94.38
"15,13,15",MAP2K1_1,IKBKB_1,MAP2K1_1,60.31,62.97,59.74,52.38,58.76,46.69
"15,13,16",MAP2K1_1,IKBKB_1,MAP2K1_2,29.04,43.81,39.38,35.42,50.56,45.38
"15,13,17",MAP2K1_1,IKBKB_1,MTOR_1,51.49,52.42,24.05,33.07,10.22,20.23
"15,13,18",MAP2K1_1,IKBKB_1,MTOR_2,52.54,46.52,33.15,19.22,36.95,19.31
"15,13,19",MAP2K1_1,IKBKB_1,POLA1_1,73.14,31.53,25.68,50.94,36.16,23.65
"15,13,20",MAP2K1_1,IKBKB_1,POLA1_2,31.84,23.11,10.57,9.79,8.5,6.31
"15,13,21",MAP2K1_1,IKBKB_1,TOP1_1,63.35,42.22,19.48,21.87,18.67,16.19
"15,13,22",MAP2K1_1,IKBKB_1,TOP1_2,43.86,58.38,29.3,26.16,38.37,45.69
"15,13,23",MAP2K1_1,IKBKB_1,TUBA1A_1,108.85,118.16,98.93,82.99,106.57,130.5
"15,13,24",MAP2K1_1,IKBKB_1,TUBA1A_2,67.2,44.33,25.15,30.05,36.06,31.38
"15,13,25",MAP2K1_1,IKBKB_1,TYMS_1,62.79,71.29,54.22,95.5,71.29,83.88
"15,13,26",MAP2K1_1,IKBKB_1,TYMS_3,104.2,107.75,155.01,176.79,132.66,111.58
"15,13,27",MAP2K1_1,IKBKB_1,FGF2_1,83.17,88.28,131.97,116.72,146.61,142.42
"15,13,28",MAP2K1_1,IKBKB_1,FGF2_2,42.57,39.08,70.01,97.43,61.32,107.65
"15,13,29",MAP2K1_1,IKBKB_1,PIK3C3_1,80.83,102,107.35,139.9,127.99,182.54
"15,13,30",MAP2K1_1,IKBKB_1,PIK3C3_2,72.71,80.51,66.5,50.06,88.05,32.62
"15,13,31",MAP2K1_1,IKBKB_1,TGFB1_1,61.79,91.12,149.04,151.29,122.59,165.85
"15,13,32",MAP2K1_1,IKBKB_1,TGFB1_2,64.8,59.4,96.82,102.51,70.31,115.46
"15,14,1",MAP2K1_1,IKBKB_2,dummyguide_1,32.97,45.68,50.75,47.11,48.54,63.77
"15,14,2",MAP2K1_1,IKBKB_2,dummyguide_2,34.66,45.77,35.04,81.23,48.59,101.19
"15,14,3",MAP2K1_1,IKBKB_2,CDK4_3,49.21,66.57,71.03,87.97,62.15,82.88
"15,14,4",MAP2K1_1,IKBKB_2,CDK4_2,48.91,46.27,31.72,89.44,34.84,32.04
"15,14,5",MAP2K1_1,IKBKB_2,DNMT1_1,55.28,65.34,65.59,41.09,65.84,51.73
"15,14,6",MAP2K1_1,IKBKB_2,DNMT1_2,34.39,37.75,49.2,37.39,30.51,14.04
"15,14,7",MAP2K1_1,IKBKB_2,EGFR_1,32.59,27.08,36.7,27.66,25.01,13.73
"15,14,8",MAP2K1_1,IKBKB_2,EGFR_2,29.71,37.67,46.26,71.99,63.14,50.85
"15,14,9",MAP2K1_1,IKBKB_2,ERBB2_1,53.05,45.44,58.72,67.87,44.32,57.65
"15,14,10",MAP2K1_1,IKBKB_2,ERBB2_2,47.43,61.55,81.3,88.13,74.73,119.23
"15,14,11",MAP2K1_1,IKBKB_2,HDAC1_1,38.88,47.87,58.76,55.95,64.56,36.08
"15,14,12",MAP2K1_1,IKBKB_2,HDAC1_2,30.98,31.74,47.77,49.53,35.43,49.5
"15,14,13",MAP2K1_1,IKBKB_2,IKBKB_1,31.57,40.47,41.23,61.03,48.59,46.38
"15,14,14",MAP2K1_1,IKBKB_2,IKBKB_2,20.62,26.58,34.48,38.08,33.8,12.5
"15,14,15",MAP2K1_1,IKBKB_2,MAP2K1_1,43.61,63.44,80.2,66.95,78.81,111.58
"15,14,16",MAP2K1_1,IKBKB_2,MAP2K1_2,43.26,40.94,50.83,80.96,44.76,104.12
"15,14,17",MAP2K1_1,IKBKB_2,MTOR_1,38.05,29.22,18.96,17.45,32.28,31.58
"15,14,18",MAP2K1_1,IKBKB_2,MTOR_2,25.44,26.24,12.91,4.52,18.08,8.73
"15,14,19",MAP2K1_1,IKBKB_2,POLA1_1,25.73,4.76,16.8,6.78,3,7.5
"15,14,20",MAP2K1_1,IKBKB_2,POLA1_2,43.08,26.65,25.56,14.11,19.11,28.19
"15,14,21",MAP2K1_1,IKBKB_2,TOP1_1,43.61,22.48,3.44,,5.7,3.15
"15,14,22",MAP2K1_1,IKBKB_2,TOP1_2,27.16,15.82,12.57,5.07,8.65,2.5
"15,14,23",MAP2K1_1,IKBKB_2,TUBA1A_1,26.14,33.8,22.24,17.32,17.64,30.5
"15,14,24",MAP2K1_1,IKBKB_2,TUBA1A_2,38.32,25.05,21.15,17.94,19.21,25.04
"15,14,25",MAP2K1_1,IKBKB_2,TYMS_1,29.34,36.29,37.91,43.61,29.38,32.08
"15,14,26",MAP2K1_1,IKBKB_2,TYMS_3,57.92,61.95,67.25,78.35,78.81,65.12
"15,14,27",MAP2K1_1,IKBKB_2,FGF2_1,55.53,76.79,71.78,84.37,66.62,103.27
"15,14,28",MAP2K1_1,IKBKB_2,FGF2_2,43.72,42.85,53.7,98.81,67.12,100
"15,14,29",MAP2K1_1,IKBKB_2,PIK3C3_1,32.59,19.35,16.88,18.83,17.44,26.58
"15,14,30",MAP2K1_1,IKBKB_2,PIK3C3_2,43.88,50.88,44.97,34.21,48.59,33.15
"15,14,31",MAP2K1_1,IKBKB_2,TGFB1_1,38.34,20.12,21.37,14.21,29.53,29.62
"15,14,32",MAP2K1_1,IKBKB_2,TGFB1_2,24.28,18.14,20.66,43.74,23.04,16.58
"15,15,1",MAP2K1_1,MAP2K1_1,dummyguide_1,24.82,21.64,25.56,54.51,29.63,52.12
"15,15,2",MAP2K1_1,MAP2K1_1,dummyguide_2,27.72,30.88,18.35,29.6,33.51,23.27
"15,15,3",MAP2K1_1,MAP2K1_1,CDK4_3,35.95,40.8,33.38,22.75,33.41,53.23
"15,15,4",MAP2K1_1,MAP2K1_1,CDK4_2,33.02,16.38,13.59,25.63,18.42,13.85
"15,15,5",MAP2K1_1,MAP2K1_1,DNMT1_1,53.16,76.96,76.92,104.67,82.4,46.85
"15,15,6",MAP2K1_1,MAP2K1_1,DNMT1_2,34.15,43.34,23.56,31.27,46.92,27.35
"15,15,7",MAP2K1_1,MAP2K1_1,EGFR_1,23.42,21.12,17.6,4.94,16.02,16.81
"15,15,8",MAP2K1_1,MAP2K1_1,EGFR_2,35.55,40.59,53.85,40.99,53.51,69.15
"15,15,9",MAP2K1_1,MAP2K1_1,ERBB2_1,42.3,29.69,34.93,34.77,23.34,32.54
"15,15,10",MAP2K1_1,MAP2K1_1,ERBB2_2,32.59,36.39,30.66,47.96,53.65,76.27
"15,15,11",MAP2K1_1,MAP2K1_1,HDAC1_1,60.53,61.3,64.5,84.4,57.58,80.85
"15,15,12",MAP2K1_1,MAP2K1_1,HDAC1_2,33.02,17.23,13.44,17.02,16.61,16.38
"15,15,13",MAP2K1_1,MAP2K1_1,IKBKB_1,34.82,26.42,56.11,55.36,36.31,38.19
"15,15,14",MAP2K1_1,MAP2K1_1,IKBKB_2,52.81,64.14,62.04,58.73,72.47,84.69
"15,15,15",MAP2K1_1,MAP2K1_1,MAP2K1_1,52.17,54.41,64.57,41.28,70.85,61.31
"15,15,16",MAP2K1_1,MAP2K1_1,MAP2K1_2,33.8,25.49,59.1,55.1,41.86,65
"15,15,17",MAP2K1_1,MAP2K1_1,MTOR_1,32.05,23.55,14.27,4.71,19.6,4.81
"15,15,18",MAP2K1_1,MAP2K1_1,MTOR_2,32.62,12.61,4.72,6.29,5.26,
"15,15,19",MAP2K1_1,MAP2K1_1,POLA1_1,42.32,14.84,13.97,15.85,20.05,28.04
"15,15,20",MAP2K1_1,MAP2K1_1,POLA1_2,28.26,4.15,7.48,0.03,1.42,0.04
"15,15,21",MAP2K1_1,MAP2K1_1,TOP1_1,39.26,8.7,2.98,,8.45,
"15,15,22",MAP2K1_1,MAP2K1_1,TOP1_2,24.66,12.72,13.29,5.37,13.86,3.96
"15,15,23",MAP2K1_1,MAP2K1_1,TUBA1A_1,45.9,41.88,38.4,40.96,49.23,48.42
"15,15,24",MAP2K1_1,MAP2K1_1,TUBA1A_2,45.09,17.64,24.32,17.84,16.12,1.38
"15,15,25",MAP2K1_1,MAP2K1_1,TYMS_1,25.89,17.67,20.16,24.49,18.23,19.19
"15,15,26",MAP2K1_1,MAP2K1_1,TYMS_3,58.83,67.39,90.47,62.96,62.64,81.65
"15,15,27",MAP2K1_1,MAP2K1_1,FGF2_1,29.26,37.91,60.95,71.24,45.15,53.27
"15,15,28",MAP2K1_1,MAP2K1_1,FGF2_2,22.72,14.49,18.8,25.8,5.26,1.04
"15,15,29",MAP2K1_1,MAP2K1_1,PIK3C3_1,29.55,17.95,24.58,11.72,21.27,9.27
"15,15,30",MAP2K1_1,MAP2K1_1,PIK3C3_2,43.59,24.18,23.37,6.84,29.97,27.69
"15,15,31",MAP2K1_1,MAP2K1_1,TGFB1_1,33.42,41.69,61.74,71.67,58.42,39.77
"15,15,32",MAP2K1_1,MAP2K1_1,TGFB1_2,29.9,32.28,38.4,23.21,33.02,22.15
"15,16,1",MAP2K1_1,MAP2K1_2,dummyguide_1,10.35,17.88,32.25,30.81,16.36,15.85
"15,16,2",MAP2K1_1,MAP2K1_2,dummyguide_2,25.6,17.83,17.33,31.82,27.02,44.35
"15,16,3",MAP2K1_1,MAP2K1_2,CDK4_3,29.95,23.29,46.9,67.05,36.46,30.77
"15,16,4",MAP2K1_1,MAP2K1_2,CDK4_2,27.43,45.49,34.82,69.6,37.34,78.15
"15,16,5",MAP2K1_1,MAP2K1_2,DNMT1_1,21.4,24.28,49.92,76.9,58.12,46.08
"15,16,6",MAP2K1_1,MAP2K1_2,DNMT1_2,9.44,12.25,8.53,7.2,7.27,3
"15,16,7",MAP2K1_1,MAP2K1_2,EGFR_1,27.75,21.03,31.95,52.25,38.86,67.23
"15,16,8",MAP2K1_1,MAP2K1_2,EGFR_2,36.81,48.46,44.14,52.19,37.54,43.54
"15,16,9",MAP2K1_1,MAP2K1_2,ERBB2_1,27,37.04,34.82,85.65,37.29,59.5
"15,16,10",MAP2K1_1,MAP2K1_2,ERBB2_2,50.9,58.42,80.05,94.19,61.12,96
"15,16,11",MAP2K1_1,MAP2K1_2,HDAC1_1,35.71,46.61,71.9,50.32,53.31,64.69
"15,16,12",MAP2K1_1,MAP2K1_2,HDAC1_2,18.5,10.09,17.14,6.22,21.08,18.88
"15,16,13",MAP2K1_1,MAP2K1_2,IKBKB_1,11.35,9.43,15.52,21.58,11.69,31.04
"15,16,14",MAP2K1_1,MAP2K1_2,IKBKB_2,21.89,37.28,28.7,27.34,37.44,49.69
"15,16,15",MAP2K1_1,MAP2K1_2,MAP2K1_1,48.19,51.68,60.91,111.97,69.33,115.12
"15,16,16",MAP2K1_1,MAP2K1_2,MAP2K1_2,26.46,24.16,29.49,36.86,19.46,22.54
"15,16,17",MAP2K1_1,MAP2K1_2,MTOR_1,29.26,16.15,8.42,20.69,18.23,7.38
"15,16,18",MAP2K1_1,MAP2K1_2,MTOR_2,21.54,27.26,36.06,22.88,16.66,6.58
"15,16,19",MAP2K1_1,MAP2K1_2,POLA1_1,22.45,7.75,3.47,1.77,6.44,12.23
"15,16,20",MAP2K1_1,MAP2K1_2,POLA1_2,23.69,10.32,7.36,1.57,8.6,
"15,16,21",MAP2K1_1,MAP2K1_2,TOP1_1,23.12,17.11,7.06,2.13,8.75,14.96
"15,16,22",MAP2K1_1,MAP2K1_2,TOP1_2,34.88,37.75,13.9,,13.07,12.92
"15,16,23",MAP2K1_1,MAP2K1_2,TUBA1A_1,36.68,38.07,47.65,61.71,48.05,80.04
"15,16,24",MAP2K1_1,MAP2K1_2,TUBA1A_2,36.33,19.37,10.95,2.82,14.79,14.23
"15,16,25",MAP2K1_1,MAP2K1_2,TYMS_1,17.59,19.54,43.58,32.58,25.7,28.27
"15,16,26",MAP2K1_1,MAP2K1_2,TYMS_3,49.77,62.21,85.94,42.89,66.53,79.58
"15,16,27",MAP2K1_1,MAP2K1_2,FGF2_1,38.88,50.49,76.35,82.73,71.39,84.31
"15,16,28",MAP2K1_1,MAP2K1_2,FGF2_2,23.02,28.95,20.13,24,36.51,27.04
"15,16,29",MAP2K1_1,MAP2K1_2,PIK3C3_1,16.99,14.28,15.82,13.59,9.29,7.73
"15,16,30",MAP2K1_1,MAP2K1_2,PIK3C3_2,36.25,27.17,27,26.42,21.57,42.69
"15,16,31",MAP2K1_1,MAP2K1_2,TGFB1_1,31.62,27.28,55.7,40.3,38.37,35.88
"15,16,32",MAP2K1_1,MAP2K1_2,TGFB1_2,16.54,20.57,19.67,25.11,15.18,27.58
"15,17,1",MAP2K1_1,MTOR_1,dummyguide_1,37.97,19.82,40.52,27.5,41.76,33.35
"15,17,2",MAP2K1_1,MTOR_1,dummyguide_2,31.86,22.48,18.5,4.71,12.14,
"15,17,3",MAP2K1_1,MTOR_1,CDK4_3,35.63,36.91,18.35,8.28,14.84,8.31
"15,17,4",MAP2K1_1,MTOR_1,CDK4_2,29.34,34.29,20.32,4.85,30.12,16.88
"15,17,5",MAP2K1_1,MTOR_1,DNMT1_1,27.91,29.72,34.97,5.57,26.19,10.88
"15,17,6",MAP2K1_1,MTOR_1,DNMT1_2,27,43.7,54.26,18.83,33.41,22.08
"15,17,7",MAP2K1_1,MTOR_1,EGFR_1,27.83,11.04,8.42,18.27,11.05,6.96
"15,17,8",MAP2K1_1,MTOR_1,EGFR_2,24.55,24.09,25.75,34.08,25.65,26.54
"15,17,9",MAP2K1_1,MTOR_1,ERBB2_1,16.32,12.21,9.55,4.75,6.19,11.46
"15,17,10",MAP2K1_1,MTOR_1,ERBB2_2,30.92,24.9,21.83,46.16,34.93,41.27
"15,17,11",MAP2K1_1,MTOR_1,HDAC1_1,66.6,55.28,46.94,28.58,38.42,31.96
"15,17,12",MAP2K1_1,MTOR_1,HDAC1_2,21.57,8.12,18.13,6.84,14.89,8.31
"15,17,13",MAP2K1_1,MTOR_1,IKBKB_1,26.57,54.31,47.96,33.33,26.58,40.38
"15,17,14",MAP2K1_1,MTOR_1,IKBKB_2,24.17,11.7,1.81,12.18,15.92,0.96
"15,17,15",MAP2K1_1,MTOR_1,MAP2K1_1,15.41,10.97,19.86,16.76,24.91,12.69
"15,17,16",MAP2K1_1,MTOR_1,MAP2K1_2,36.03,21.34,25.68,10.28,28.2,30.62
"15,17,17",MAP2K1_1,MTOR_1,MTOR_1,29.63,17.72,24.54,19.91,16.31,31.27
"15,17,18",MAP2K1_1,MTOR_1,MTOR_2,24.98,24.13,2.45,4.68,9.19,3.35
"15,17,19",MAP2K1_1,MTOR_1,POLA1_1,29.17,9.05,4.38,,3,
"15,17,20",MAP2K1_1,MTOR_1,POLA1_2,17.72,10.9,2.42,6.52,5.45,6.85
"15,17,21",MAP2K1_1,MTOR_1,TOP1_1,35.63,25.47,10.91,18.66,8.5,14.12
"15,17,22",MAP2K1_1,MTOR_1,TOP1_2,20.41,11.07,5.63,8.91,15.92,10.27
"15,17,23",MAP2K1_1,MTOR_1,TUBA1A_1,32.89,63.56,48.22,23.54,36.56,51.5
"15,17,24",MAP2K1_1,MTOR_1,TUBA1A_2,40.87,25.4,18.99,13.55,20.34,12.15
"15,17,25",MAP2K1_1,MTOR_1,TYMS_1,34.1,21.4,18.92,31.2,21.03,3.65
"15,17,26",MAP2K1_1,MTOR_1,TYMS_3,44.91,65.97,39.2,40.37,47.95,16.58
"15,17,27",MAP2K1_1,MTOR_1,FGF2_1,37.59,44.6,17.82,8.48,28.35,12.58
"15,17,28",MAP2K1_1,MTOR_1,FGF2_2,34.07,40.29,52.11,31.33,32.87,45.65
"15,17,29",MAP2K1_1,MTOR_1,PIK3C3_1,60.93,76.28,69.4,55.07,70.26,47.69
"15,17,30",MAP2K1_1,MTOR_1,PIK3C3_2,32.4,36.88,28.7,11.39,33.41,13.27
"15,17,31",MAP2K1_1,MTOR_1,TGFB1_1,35.17,38.94,42.52,34.34,43.83,17.42
"15,17,32",MAP2K1_1,MTOR_1,TGFB1_2,18.55,15.85,11.25,12.18,26.53,6.73
"15,18,1",MAP2K1_1,MTOR_2,dummyguide_1,29.95,21.94,29.04,18.1,12.58,1.81
"15,18,2",MAP2K1_1,MTOR_2,dummyguide_2,14.49,11.91,19.79,20.69,19.8,14.65
"15,18,3",MAP2K1_1,MTOR_2,CDK4_3,26.92,30.09,35.65,55.3,56.36,53.31
"15,18,4",MAP2K1_1,MTOR_2,CDK4_2,27.05,40.05,32.17,26.98,40.34,53.92
"15,18,5",MAP2K1_1,MTOR_2,DNMT1_1,42.62,79.04,36.59,35.95,41.52,17.46
"15,18,6",MAP2K1_1,MTOR_2,DNMT1_2,15.54,9.73,5.85,,5.5,6.92
"15,18,7",MAP2K1_1,MTOR_2,EGFR_1,21.43,20.42,34.55,20.1,22.65,21.92
"15,18,8",MAP2K1_1,MTOR_2,EGFR_2,37.81,42.36,46.18,11.49,48.99,30.31
"15,18,9",MAP2K1_1,MTOR_2,ERBB2_1,36.81,32.86,22.92,8.77,54.78,34.5
"15,18,10",MAP2K1_1,MTOR_2,ERBB2_2,25.49,27.87,51.81,54.94,43.73,26.5
"15,18,11",MAP2K1_1,MTOR_2,HDAC1_1,41.22,45.73,52.75,40.01,59.55,64.27
"15,18,12",MAP2K1_1,MTOR_2,HDAC1_2,34.79,39.24,31.83,7.82,34.44,10.23
"15,18,13",MAP2K1_1,MTOR_2,IKBKB_1,30.82,9.41,22.17,6.19,15.03,8.88
"15,18,14",MAP2K1_1,MTOR_2,IKBKB_2,21.3,14.66,9.06,3.5,7.37,4.54
"15,18,15",MAP2K1_1,MTOR_2,MAP2K1_1,49.26,50.56,55.09,49.17,44.17,50.62
"15,18,16",MAP2K1_1,MTOR_2,MAP2K1_2,27.35,25.63,48.6,38.01,31.3,28.5
"15,18,17",MAP2K1_1,MTOR_2,MTOR_1,16.78,18.06,11.67,,13.61,10.35
"15,18,18",MAP2K1_1,MTOR_2,MTOR_2,17.32,13.73,3.63,,3.98,
"15,18,19",MAP2K1_1,MTOR_2,POLA1_1,34.15,25.74,16.43,15.39,18.72,9.85
"15,18,20",MAP2K1_1,MTOR_2,POLA1_2,38.85,19.87,39.65,32.41,14.45,26.77
"15,18,21",MAP2K1_1,MTOR_2,TOP1_1,34.07,21.97,11.44,6.15,8.99,14.12
"15,18,22",MAP2K1_1,MTOR_2,TOP1_2,29.01,23.81,5.89,2.52,16.26,6.58
"15,18,23",MAP2K1_1,MTOR_2,TUBA1A_1,32.97,22.69,26.43,30.35,46.63,42.65
"15,18,24",MAP2K1_1,MTOR_2,TUBA1A_2,36.68,15.24,17.48,4.39,22.65,16.27
"15,18,25",MAP2K1_1,MTOR_2,TYMS_1,27.94,19.02,28.32,31.66,29.63,5.96
"15,18,26",MAP2K1_1,MTOR_2,TYMS_3,43.1,42.01,39.42,46.26,48.99,15.88
"15,18,27",MAP2K1_1,MTOR_2,FGF2_1,37.03,39.66,32.29,26,36.85,17.54
