,gRNAs at position of ,,,,,,,,
Key,mU6 (P3),U6 (P2),H1 (P1),Plasmid,Cell_D9,Cell_D15_rep1,Cell_D26_rep1,Cell_D15_rep2,Cell_D26_rep2
"1,3,14",dummyguide_1,CDK4_3,IKBKB_2,37.64,28.27,44.26,24.88,40.93,34.04
"1,3,15",dummyguide_1,CDK4_3,MAP2K1_1,46.73,57.63,79.67,128.08,79.35,140.69
"1,3,16",dummyguide_1,CDK4_3,MAP2K1_2,27.91,28.43,31.83,63.48,43.38,60.69
"1,3,17",dummyguide_1,CDK4_3,MTOR_1,17.42,19.28,1.81,,10.51,10.77
"1,3,18",dummyguide_1,CDK4_3,MTOR_2,27.67,21.22,9.29,8.45,11.55,6.58
"1,3,19",dummyguide_1,CDK4_3,POLA1_1,21.05,11.46,1.85,,0.59,9.12
"1,3,20",dummyguide_1,CDK4_3,POLA1_2,27.29,20.94,25.49,31.99,8.25,8
"1,3,21",dummyguide_1,CDK4_3,TOP1_1,42.7,22.15,,,,9.58
"1,3,22",dummyguide_1,CDK4_3,TOP1_2,28.37,37.21,18.16,14.11,11.84,3
"1,3,23",dummyguide_1,CDK4_3,TUBA1A_1,36.46,48.02,76.65,73.4,59.8,75.35
"1,3,24",dummyguide_1,CDK4_3,TUBA1A_2,19.25,14.38,13.71,17.81,10.71,9.62
"1,3,25",dummyguide_1,CDK4_3,TYMS_1,24.93,42.95,73.18,54.84,46.33,42.58
"1,3,26",dummyguide_1,CDK4_3,TYMS_3,34.71,56.12,66.57,32.61,38.77,58.46
"1,3,27",dummyguide_1,CDK4_3,FGF2_1,39.18,26.1,30.89,12.8,20.64,24.5
"1,3,28",dummyguide_1,CDK4_3,FGF2_2,33.32,49.56,47.58,39.09,45.64,62.5
"1,3,29",dummyguide_1,CDK4_3,PIK3C3_1,44.02,27.87,28.4,21.64,22.6,28.23
"1,3,30",dummyguide_1,CDK4_3,PIK3C3_2,33.21,41.38,25.19,21.71,24.52,37.65
"1,3,31",dummyguide_1,CDK4_3,TGFB1_1,24.52,37.93,47.77,81.1,54.88,52.81
"1,3,32",dummyguide_1,CDK4_3,TGFB1_2,23.61,34.29,56,27.4,30.86,22.88
"1,4,1",dummyguide_1,CDK4_2,dummyguide_1,17.64,18.98,35.12,33.1,44.76,40.54
"1,4,2",dummyguide_1,CDK4_2,dummyguide_2,17.77,15.97,31.79,10.64,32.53,40.19
"1,4,3",dummyguide_1,CDK4_2,CDK4_3,30.17,45.37,40.59,60.83,62.55,84.04
"1,4,4",dummyguide_1,CDK4_2,CDK4_2,21.22,33.5,55.02,70.72,38.77,53.62
"1,4,5",dummyguide_1,CDK4_2,DNMT1_1,21.16,24.69,52.6,64.5,46.97,45.35
"1,4,6",dummyguide_1,CDK4_2,DNMT1_2,25.17,35.34,28.51,41.22,43.63,43.88
"1,4,7",dummyguide_1,CDK4_2,EGFR_1,32.78,28.55,25.79,23.7,21.77,16.35
"1,4,8",dummyguide_1,CDK4_2,EGFR_2,16.27,18.27,14.5,19.15,28.84,24.92
"1,4,9",dummyguide_1,CDK4_2,ERBB2_1,31.08,35.8,46.86,36.83,56.6,48.31
"1,4,10",dummyguide_1,CDK4_2,ERBB2_2,13.93,13.17,45.65,58.21,51.79,90.92
"1,4,11",dummyguide_1,CDK4_2,HDAC1_1,19.09,39.21,40.59,24.65,49.72,28.54
"1,4,12",dummyguide_1,CDK4_2,HDAC1_2,16.38,25.75,20.24,17.25,20.64,12.15
"1,4,13",dummyguide_1,CDK4_2,IKBKB_1,19.98,25.16,20.58,46.13,26.78,11.65
"1,4,14",dummyguide_1,CDK4_2,IKBKB_2,19.84,25.37,61.4,45.9,38.62,47.5
"1,4,15",dummyguide_1,CDK4_2,MAP2K1_1,17.59,25.11,23.94,21.58,39.7,59.85
"1,4,16",dummyguide_1,CDK4_2,MAP2K1_2,17.45,27.83,38.48,49.34,24.08,39.31
"1,4,17",dummyguide_1,CDK4_2,MTOR_1,24.71,35.25,13.25,8.32,14.74,
"1,4,18",dummyguide_1,CDK4_2,MTOR_2,15.89,12.82,,15.58,6.53,8.23
"1,4,19",dummyguide_1,CDK4_2,POLA1_1,27.19,9.64,6.46,1.28,4.82,1.15
"1,4,20",dummyguide_1,CDK4_2,POLA1_2,22.13,18.42,12.8,12.02,16.21,3.38
"1,4,21",dummyguide_1,CDK4_2,TOP1_1,9.36,0.05,10.72,5.7,5.4,
"1,4,22",dummyguide_1,CDK4_2,TOP1_2,20.06,28.57,10.72,2.46,5.65,3.77
"1,4,23",dummyguide_1,CDK4_2,TUBA1A_1,19.76,18.21,16.16,22.85,18.72,40.31
"1,4,24",dummyguide_1,CDK4_2,TUBA1A_2,20.97,8.47,4.98,6.81,9.83,7.23
"1,4,25",dummyguide_1,CDK4_2,TYMS_1,16.97,25.54,22.85,24.19,22.45,21.73
"1,4,26",dummyguide_1,CDK4_2,TYMS_3,22.48,29.16,38.93,28.75,24.08,25.85
"1,4,27",dummyguide_1,CDK4_2,FGF2_1,15.22,18.02,10.8,21.25,21.13,35.54
"1,4,28",dummyguide_1,CDK4_2,FGF2_2,15.6,13.26,10.84,60.11,4.08,32
"1,4,29",dummyguide_1,CDK4_2,PIK3C3_1,27.99,21.92,26.92,26.68,20.93,23.27
"1,4,30",dummyguide_1,CDK4_2,PIK3C3_2,31.7,40.54,21.6,16.37,25.4,18.12
"1,4,31",dummyguide_1,CDK4_2,TGFB1_1,27.86,26.45,37.76,48.22,37.34,54.08
"1,4,32",dummyguide_1,CDK4_2,TGFB1_2,12.18,12.72,4.04,12.15,10.17,8.19
"1,5,1",dummyguide_1,DNMT1_1,dummyguide_1,32.97,38.09,39.72,94.06,49.97,59.85
"1,5,2",dummyguide_1,DNMT1_1,dummyguide_2,25.03,48.32,36.93,35.13,48.54,51.04
"1,5,3",dummyguide_1,DNMT1_1,CDK4_3,50.26,51.42,41.99,57.69,61.12,46.5
"1,5,4",dummyguide_1,DNMT1_1,CDK4_2,21.75,27.45,23.3,30.05,7.27,27.38
"1,5,5",dummyguide_1,DNMT1_1,DNMT1_1,63.62,66.43,108.83,119.73,61.42,109.46
"1,5,6",dummyguide_1,DNMT1_1,DNMT1_2,43.51,38.73,65.51,51.96,43.48,50.23
"1,5,7",dummyguide_1,DNMT1_1,EGFR_1,39.26,30.62,32.66,36.57,42.75,42.96
"1,5,8",dummyguide_1,DNMT1_1,EGFR_2,54.64,49.6,35.04,89.54,59.75,66.19
"1,5,9",dummyguide_1,DNMT1_1,ERBB2_1,45.17,43.48,50.15,34.44,43.93,91.58
"1,5,10",dummyguide_1,DNMT1_1,ERBB2_2,37.13,37.19,47.5,50.68,57.88,31.92
"1,5,11",dummyguide_1,DNMT1_1,HDAC1_1,60.04,60.31,74.43,69.34,55.91,62.69
"1,5,12",dummyguide_1,DNMT1_1,HDAC1_2,30.98,27.38,31.61,28.97,37.14,20.23
"1,5,13",dummyguide_1,DNMT1_1,IKBKB_1,44.82,58.77,80.92,79.75,67.71,112.31
"1,5,14",dummyguide_1,DNMT1_1,IKBKB_2,61.85,60.1,83.07,51.43,71.59,75.04
"1,5,15",dummyguide_1,DNMT1_1,MAP2K1_1,49.45,68.86,74.01,96.94,103.03,64.38
"1,5,16",dummyguide_1,DNMT1_1,MAP2K1_2,19.66,25.67,23.03,39.61,29.28,55.77
"1,5,17",dummyguide_1,DNMT1_1,MTOR_1,27.86,23.16,15.07,21.67,7.42,14.96
"1,5,18",dummyguide_1,DNMT1_1,MTOR_2,26,29.67,18.99,38.67,26.14,26.73
"1,5,19",dummyguide_1,DNMT1_1,POLA1_1,70.69,40.26,23.79,24.78,7.57,21.42
"1,5,20",dummyguide_1,DNMT1_1,POLA1_2,39.1,16.18,16.99,4.03,8.6,3.62
"1,5,21",dummyguide_1,DNMT1_1,TOP1_1,38.56,20.54,4.34,5.6,17.88,13.15
"1,5,22",dummyguide_1,DNMT1_1,TOP1_2,33.85,20.38,27.57,17.02,11.69,5.5
"1,5,23",dummyguide_1,DNMT1_1,TUBA1A_1,32.05,35.69,66.01,66.17,35.43,40.81
"1,5,24",dummyguide_1,DNMT1_1,TUBA1A_2,48,36.51,56.49,47.28,55.08,50.58
"1,5,25",dummyguide_1,DNMT1_1,TYMS_1,26.38,35.48,20.05,26.62,40.49,20.35
